"muni_idx","prev_ESH","prev_AHA","diferencia_pp","cve_ent","cve_mun","nomgeo"
960,0.657308623574902,0.465766304518643,-19.1542319056259,"18","016","Tecuala"
963,0.751180339759725,0.561947342701868,-18.9232997057857,"18","020","Bahía de Banderas"
964,0.694499618496711,0.483701235751251,-21.0798382745461,"18","002","Ahuacatlán"
966,0.611200605667662,0.31209941627629,-29.9101189391372,"19","048","Santa Catarina"
967,0.567204684303465,0.334008205274043,-23.3196479029423,"19","044","Sabinas Hidalgo"
971,0.569914746939782,0.321171554997381,-24.8743191942401,"19","047","Hidalgo"
972,0.647559141093872,0.458652886626587,-18.8906254467285,"19","049","Santiago"
973,0.71517482235753,0.442152994778726,-27.3021827578804,"19","009","Cadereyta Jiménez"
974,0.629797564086316,0.359229986956683,-27.0567577129632,"19","032","Lampazos de Naranjo"
975,0.648107201621141,0.342578274314686,-30.5528927306455,"19","031","Juárez"
980,0.673509491759958,0.336271725248202,-33.7237766511756,"19","039","Monterrey"
981,0.715359131625131,0.288756064116125,-42.6603067509007,"19","046","San Nicolás de los Garza"
985,0.561483446325824,0.340552979716912,-22.0930466608912,"19","021","General Escobedo"
986,0.744690472178305,0.385169627384601,-35.9520844793704,"19","012","Ciénega de Flores"
990,0.652744699388335,0.426836361275013,-22.5908338113322,"19","026","Guadalupe"
995,0.565675765175608,0.281186841777693,-28.4488923397914,"19","007","Aramberri"
996,0.679768336990198,0.490396174165821,-18.9372162824378,"19","018","García"
998,0.715964473789777,0.40783658545594,-30.8127888333837,"19","006","Apodaca"
1031,0.426298923528103,0.245111610310928,-18.1187313217175,"20","134","San Felipe Jalapa de Díaz"
1056,0.631429080566004,0.345695813294711,-28.5733267271293,"20","545","Teotitlán de Flores Magón"
1062,0.667559300188981,0.48917459311459,-17.8384707074391,"20","184","San Juan Bautista Tuxtepec"
1077,0.602885872269606,0.417699655008155,-18.5186217261451,"20","272","San Miguel Panixtlahuaca"
1086,0.76786180068769,0.550390190565528,-21.7471610122162,"20","318","San Pedro Mixtepec"
1113,0.64761695144454,0.519969853067418,-12.7647098377122,"20","500","Santiago Yosondúa"
1126,0.655777651520827,0.456021710133734,-19.9755941387093,"20","057","Matías Romero Avendaño"
1139,0.626166331768885,0.473161537370956,-15.3004794397928,"20","075","Reforma de Pineda"
1175,0.691662982012504,0.489406545509445,-20.2256436503059,"20","030","El Espinal"
1188,0.598949985477948,0.412120512658293,-18.6829472819655,"20","025","Chahuites"
1192,0.537172335412621,0.348118869449009,-18.9053465963612,"20","515","Santo Domingo Tehuantepec"
1193,0.57021432976107,0.385516918580945,-18.4697411180125,"20","516","Santo Domingo Teojomulco"
1224,0.581760314980799,0.365844133004585,-21.5916181976214,"20","076","La Reforma"
1248,0.668824616223942,0.451969155778868,-21.6855460445074,"20","107","San Antonio de la Cal"
1276,0.618192188727228,0.459183640609557,-15.9008548117671,"20","130","San Dionisio del Mar"
1346,0.492893952182284,0.305546997721482,-18.7346954460802,"20","498","Santiago Yaveo"
1356,0.700926421121297,0.439596967053421,-26.1329454067876,"20","235","San Luis Amatlán"
