"muni_idx","n","prev_sin","prev_con","dif_pp","quintil_sin","quintil_con","cambia_quintil"
1356,1,0.537221982147228,0.513792648676757,-2.34293334704706,1,1,FALSE
1374,2,0.909929005057459,0.896329965391606,-1.35990396658534,5,4,TRUE
1433,5,0.849846000398123,0.816550172774851,-3.32958276232714,3,3,FALSE
1474,1,0.791885592415601,0.799129092303368,0.724349988776696,2,2,FALSE
1475,4,0.876495372093643,0.863052706234199,-1.34426658594438,4,4,FALSE
1483,4,0.839960294433235,0.806106751061806,-3.38535433714289,3,2,TRUE
1500,6,0.752090797619162,0.723949539894167,-2.8141257724995,1,1,FALSE
1512,3,0.860113226720447,0.87055068694787,1.04374602274236,4,4,FALSE
1515,2,0.693112275740728,0.72365116751565,3.05388917749214,1,1,FALSE
1517,5,0.778886146030247,0.702098269725566,-7.67878763046802,2,1,TRUE
1520,3,0.657083587021115,0.63825523077606,-1.88283562450545,1,1,FALSE
1531,1,0.9676984933903,0.960362345234375,-0.733614815592454,5,5,FALSE
1565,3,0.746179209061559,0.724568344884951,-2.1610864176608,1,1,FALSE
1566,5,0.810255813337409,0.652853832679299,-15.740198065811,2,1,TRUE
1569,4,0.925906055373107,0.934905515069771,0.899945969666427,5,5,FALSE
1592,12,0.819571208076575,0.895317110630624,7.57459025540484,2,4,TRUE
1598,8,0.646852092622524,0.701899772247609,5.50476796250845,1,1,FALSE
1602,3,0.747211218048424,0.736527512855081,-1.06837051933431,1,1,FALSE
1608,2,0.89197081744743,0.893141005735249,0.11701882878189,4,4,FALSE
1620,2,0.884103031364147,0.859951487255748,-2.4151544108399,4,3,TRUE
1623,2,0.842398028768231,0.790002271000332,-5.23957577678993,3,2,TRUE
1626,8,0.77512947891916,0.777745501475687,0.261602255652615,2,2,FALSE
1629,4,0.762824900979118,0.751098029403603,-1.17268715755152,1,2,TRUE
1632,6,0.825689978788852,0.868018870598402,4.23288918095509,3,4,TRUE
1640,2,0.840004158837633,0.827180796065561,-1.28233627720722,3,3,FALSE
1654,3,0.67578579806791,0.631072271395649,-4.47135266722612,1,1,FALSE
1666,4,0.783961517385664,0.70798645111759,-7.59750662680744,2,1,TRUE
1678,2,0.947349283991154,0.946237476847646,-0.111180714350789,5,5,FALSE
1695,5,0.906669289267952,0.902148582429489,-0.452070683846262,5,4,TRUE
1722,1,0.691980046886104,0.627687101597524,-6.42929452885804,1,1,FALSE
1735,2,0.728408109620672,0.718988006112842,-0.942010350783007,1,1,FALSE
1751,6,0.761937428914784,0.662511172529427,-9.94262563853571,1,1,FALSE
1756,4,0.744217745736109,0.767238138571747,2.30203928356372,1,2,TRUE
1757,17,0.848989241019841,0.872617205274533,2.36279642546918,3,4,TRUE
1758,6,0.828980863597421,0.878361765105124,4.9380901507703,3,4,TRUE
1763,2,0.746831397299294,0.73247583266263,-1.43555646366635,1,1,FALSE
1774,12,0.77893771706256,0.785776786770205,0.683906970764503,2,2,FALSE
1780,7,0.777087589579818,0.75362052958243,-2.34670599973881,2,2,FALSE
1785,3,0.755442702596086,0.790539942017932,3.50972394218457,1,2,TRUE
1792,2,0.841463052854111,0.836769719720327,-0.469333313378351,3,3,FALSE
1798,1,0.777099693078154,0.770336006163399,-0.676368691475526,2,2,FALSE
1800,5,0.803190637932029,0.807147101555722,0.39564636236924,2,2,FALSE
1803,6,0.711419503000187,0.592661507188669,-11.8757995811518,1,1,FALSE
1805,7,0.929847924451513,0.947228434718495,1.73805102669826,5,5,FALSE
1807,9,0.853449449406751,0.86728407622005,1.38346268132987,3,4,TRUE
1808,2,0.888193959209178,0.896594439823194,0.840048061401588,4,4,FALSE
1810,22,0.856859236809986,0.838836960580084,-1.80222762299023,3,3,FALSE
1812,2,0.855936016537756,0.846633191473933,-0.930282506382318,3,3,FALSE
1814,8,0.86711440065718,0.848299361592074,-1.88150390651066,4,3,TRUE
1815,64,0.877855915716827,0.961598329791411,8.37424140745836,4,5,TRUE
1817,3,0.919884958904859,0.919016077963508,-0.0868880941350625,5,5,FALSE
1819,12,0.804680126059278,0.787153758811514,-1.75263672477645,2,2,FALSE
1821,3,0.923548840108532,0.93247932765649,0.893048754795778,5,5,FALSE
1823,17,0.867845084353631,0.837063557885748,-3.07815264678823,4,3,TRUE
1824,31,0.801801374547205,0.787014324916106,-1.47870496310992,2,2,FALSE
1825,20,0.840993842142014,0.808831364421253,-3.21624777207602,3,2,TRUE
1827,11,0.798916302420095,0.743615620208788,-5.53006822113075,2,2,FALSE
1829,2,0.853663757097205,0.866325132734451,1.26613756372456,3,4,TRUE
1830,2,0.883671343269783,0.890434231887489,0.676288861770591,4,4,FALSE
1831,4,0.665321673370948,0.736202692068477,7.08810186975291,1,1,FALSE
1832,6,0.795468290414464,0.772094161593072,-2.3374128821392,2,2,FALSE
1833,3,0.893356154676551,0.904105742699516,1.07495880229649,4,5,TRUE
